Zip Code,Population
45011,"71,189"
43123,"65,577"
43081,"63,604"
44256,"63,497"
44035,"63,333"
43026,"63,047"
43055,"62,666"
43130,"61,565"
44060,"60,134"
43230,"59,111"
43015,"56,596"
44077,"56,579"
45140,"56,357"
45601,"56,263"
43228,"56,139"
45840,"55,589"
43701,"55,253"
45040,"54,890"
43068,"54,804"
43302,"54,650"
43229,"54,632"
45013,"54,333"
45044,"53,772"
45069,"51,627"
45424,"51,307"
44107,"50,351"
44130,"49,713"
44646,"47,437"
43232,"47,235"
43207,"46,717"
45238,"46,359"
44102,"45,906"
44691,"45,195"
44212,"44,625"
43224,"44,624"
45014,"43,620"
43235,"43,356"
43065,"43,034"
43204,"42,796"
44111,"42,378"
43017,"41,612"
43147,"41,530"
45324,"40,867"
43615,"40,658"
45231,"40,626"
44203,"40,445"
44109,"40,056"
44240,"39,521"
44224,"39,348"
43110,"39,220"
44870,"39,202"
45385,"39,139"
43551,"39,094"
44118,"38,893"
44720,"38,810"
45036,"38,759"
44124,"37,341"
45211,"36,890"
45342,"36,888"
43016,"36,886"
44105,"36,749"
44134,"36,580"
45701,"36,270"
45373,"36,131"
44094,"35,805"
43040,"35,087"
44120,"34,902"
44601,"34,618"
43201,"34,232"
43082,"33,961"
44266,"33,549"
44039,"33,462"
43221,"33,442"
44805,"33,290"
44095,"33,234"
43613,"33,170"
43213,"33,130"
44122,"33,115"
45150,"33,011"
44121,"32,729"
44512,"32,692"
45503,"32,599"
45103,"32,366"
44281,"32,280"
44145,"32,275"
43560,"32,238"
43402,"32,169"
44070,"31,744"
45458,"31,680"
44004,"31,498"
45005,"31,475"
44312,"31,460"
43614,"31,100"
43219,"31,078"
45215,"30,581"
44133,"30,092"
45365,"30,016"
43420,"29,711"
45662,"29,520"
44221,"29,473"
45417,"29,325"
43612,"29,302"
43050,"29,264"
43062,"29,241"
44052,"29,077"
44146,"29,050"
44128,"28,876"
45239,"28,757"
44129,"28,592"
43209,"28,541"
45056,"28,355"
44883,"28,271"
45244,"28,269"
43512,"28,109"
45230,"27,999"
44685,"27,941"
45431,"27,785"
44125,"27,743"
44135,"27,646"
43119,"27,568"
43035,"27,500"
45042,"27,470"
43054,"27,441"
43220,"27,412"
45459,"27,342"
43004,"27,227"
43537,"27,145"
43223,"26,754"
45240,"26,685"
44515,"26,574"
45750,"26,473"
43214,"26,293"
43085,"26,155"
44310,"26,135"
45039,"26,045"
44136,"25,804"
44313,"25,730"
45248,"25,612"
43605,"25,610"
45429,"25,563"
44236,"25,426"
44708,"25,425"
44106,"25,309"
44663,"25,305"
44460,"25,232"
45420,"25,179"
45066,"25,040"
43606,"24,979"
45236,"24,915"
45356,"24,891"
44483,"24,862"
43113,"24,526"
43227,"24,518"
43140,"24,467"
45241,"24,324"
44139,"24,112"
44143,"24,085"
44012,"24,030"
45133,"24,024"
44024,"23,905"
44857,"23,303"
45805,"23,252"
44903,"23,250"
43211,"23,162"
44011,"22,999"
44305,"22,940"
45247,"22,854"
45212,"22,715"
43206,"22,680"
44319,"22,542"
44137,"22,538"
45801,"22,518"
45242,"22,481"
43231,"22,393"
44138,"22,271"
43920,"22,215"
45251,"22,177"
45331,"22,049"
45102,"22,029"
45177,"21,998"
45255,"21,972"
43212,"21,959"
45245,"21,872"
43160,"21,802"
44514,"21,737"
